file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\DropSequenceImpl.java,org.jooq.impl.DropSequenceImpl,class,10,13,3,10,13,6,0,11,1,0.60714287,0.0,0.0,7,0,2,2,0,3,5,0,5,0,4,2,0,4,0,0,4,0,2,40,4,0,2,0,0,2,0,4,0,5,1,0,0,1,43,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\AlterTypeRenameValueToStep.java,org.jooq.AlterTypeRenameValueToStep,interface,6,9,3,6,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\Results.java,org.jooq.Results,interface,6,18,12,6,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\util\mariadb\MariaDBDSL.java,org.jooq.util.mariadb.MariaDBDSL,class,4,5,1,4,30,2,0,17,378,0.0,0.0,0.0,28,27,27,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,45,92,29,0,0,0,0,13,2,1,1,1,1,0,0,0,97,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\DefaultDomainDefinition.java,org.jooq.meta.DefaultDomainDefinition,class,6,10,4,6,8,3,0,8,3,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,25,3,0,2,0,0,1,1,2,0,2,1,0,0,0,20,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\JSONValue.java,org.jooq.impl.JSONValue,class,13,15,2,13,9,5,0,7,0,0.34375,0.0,0.0,4,0,2,1,0,1,3,0,2,0,8,0,0,8,0,0,8,0,1,50,1,0,1,0,0,4,0,8,0,8,2,0,1,0,47,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\Interpreter.java,org.jooq.impl.Interpreter$MutableNamed,innerclass,6,6,0,6,18,1,0,11,19,0.6666667,0.0,0.0,11,0,1,0,0,10,11,2,0,0,3,0,0,3,0,0,0,0,2,48,8,0,3,0,0,0,0,5,0,4,1,0,0,0,27,1026,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-testcontainers-example\src\main\java\org\jooq\example\testcontainers\db\Domains.java,org.jooq.example.testcontainers.db.Domains,class,6,7,1,6,1,1,0,5,0,1.0,-1.0,-1.0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,6,6,1,0,0,0,0,7,0,1,0,1,0,0,0,1,21,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\CreateIndexFinalStep.java,org.jooq.CreateIndexFinalStep,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,97,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\LoaderXMLStep.java,org.jooq.LoaderXMLStep,interface,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-spark-chart-example\src\main\java\org\jooq\example\chart\db\tables\records\PaymentP2007_06Record.java,org.jooq.example.chart.db.tables.records.PaymentP2007_06Record,class,7,10,3,7,41,6,0,22,820,1.0,0.0,0.0,41,0,41,0,0,0,41,0,0,0,1,1,0,1,0,0,1,0,0,144,33,0,0,0,0,3,13,1,0,1,0,0,0,0,63,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\firebird\rdb\tables\Rdb$indices.java,org.jooq.meta.firebird.rdb.tables.Rdb$indices,class,17,22,5,17,14,5,0,11,72,0.91794866,0.0,0.0,13,0,11,2,0,0,11,0,0,0,15,2,14,1,0,0,15,0,36,56,7,0,0,0,0,31,4,15,0,15,0,0,0,0,43,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\DefaultBinding.java,org.jooq.impl.DefaultBinding$DefaultDoubleBinding,innerclass,20,20,0,20,25,2,0,44,78,0.9230769,0.0,0.0,13,4,0,0,0,13,13,0,12,0,1,1,0,0,0,1,1,0,25,65,12,0,2,1,0,9,8,1,0,1,4,0,0,8,48,24,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\DefaultBinding.java,org.jooq.impl.DefaultBinding$DefaultXMLBinding,innerclass,11,11,0,11,11,2,0,16,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,7,0,0,0,0,0,0,0,0,0,3,29,4,0,3,0,0,0,0,3,0,3,0,0,0,0,21,24,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\h2\information_schema\tables\Views.java,org.jooq.meta.h2.information_schema.tables.Views,class,15,18,3,15,12,5,0,6,60,0.90909094,0.0,0.0,12,0,10,2,0,0,10,0,0,0,11,2,10,1,0,0,11,0,32,49,6,0,0,0,0,23,9,11,0,11,0,0,0,0,57,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\XMLPI.java,org.jooq.impl.XMLPI,class,5,6,1,5,3,5,0,3,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,1,0,2,0,0,2,0,0,2,0,0,14,0,0,1,0,0,1,0,2,0,2,1,0,0,0,18,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\RowIdImpl.java,org.jooq.impl.RowIdImpl,class,2,4,2,2,7,1,0,2,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,2,21,6,0,0,0,1,1,0,2,1,2,1,0,0,0,16,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\hsqldb\information_schema\tables\Parameters.java,org.jooq.meta.hsqldb.information_schema.tables.Parameters,class,15,18,3,15,12,5,0,6,60,0.91468257,0.0,0.0,12,0,10,2,0,0,10,0,0,0,42,2,41,1,0,0,42,0,115,80,6,0,0,0,0,85,30,42,0,42,0,0,0,0,58,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\Limit.java,org.jooq.impl.Limit,class,12,17,5,12,47,2,0,33,0,0.78571427,0.0,0.0,21,0,1,3,0,17,18,0,20,0,10,3,0,6,0,4,3,0,10,129,10,0,9,0,2,1,2,23,1,12,2,0,0,0,93,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-codegen\src\main\java\org\jooq\codegen\DefaultGeneratorStrategy.java,org.jooq.codegen.DefaultGeneratorStrategy,class,26,32,6,26,92,2,4,63,487,0.9019608,0.0,0.0,34,0,28,6,0,0,28,0,0,0,6,0,0,6,0,0,0,0,9,229,64,0,14,0,8,53,15,32,16,22,12,0,0,0,103,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\Sqrt.java,org.jooq.impl.Sqrt,class,9,11,2,9,5,5,0,10,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,1,0,1,0,0,1,0,0,1,0,6,23,2,0,0,0,1,2,1,1,0,1,1,0,0,0,15,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-spark-chart-example\src\main\java\org\jooq\example\chart\db\tables\records\ActorInfoRecord.java,org.jooq.example.chart.db.tables.records.ActorInfoRecord,class,7,9,2,7,29,6,0,16,406,1.0,0.0,0.0,29,0,29,0,0,0,29,0,0,0,1,1,0,1,0,0,1,0,0,102,23,0,0,0,0,3,9,1,0,1,0,0,0,0,50,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\util\mysql\MySQLDSL.java,org.jooq.util.mysql.MySQLDSL,class,9,10,1,9,47,2,0,37,990,0.0,0.0,0.0,45,44,44,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,85,143,46,0,0,0,0,36,2,1,1,1,1,0,0,0,124,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\VisitListener.java,org.jooq.VisitListener,interface,2,12,10,2,8,1,0,4,28,0.0,0.0,0.0,8,4,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,1,0,0,0,0,0,0,0,0,169,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\DiagnosticsDataSource.java,org.jooq.impl.DiagnosticsDataSource,class,3,4,1,3,3,2,0,0,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,2,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,15,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-testcontainers-example\src\main\java\org\jooq\example\testcontainers\db\enums\MpaaRating.java,org.jooq.example.testcontainers.db.enums.MpaaRating,enum,4,11,7,4,5,1,0,2,8,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,17,4,0,0,0,0,9,0,1,0,1,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\CurrentTime.java,org.jooq.impl.CurrentTime,class,5,6,1,5,4,5,0,4,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\SplitPart.java,org.jooq.impl.SplitPart,class,20,22,2,20,7,5,0,49,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,1,0,3,0,0,3,0,0,3,0,48,43,2,0,0,0,3,18,0,13,0,13,1,0,0,0,40,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\tools\reflect\CompileOptions.java,org.jooq.tools.reflect.CompileOptions,class,1,4,3,1,6,1,0,5,0,0.33333334,0.0,0.0,6,0,5,1,0,0,5,0,4,0,2,0,0,0,0,2,2,0,4,23,4,0,0,0,0,0,0,2,0,2,0,0,0,0,9,17,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\OrderedAggregateFunction.java,org.jooq.OrderedAggregateFunction,interface,5,9,4,5,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\tools\jdbc\DefaultPreparedStatement.java,org.jooq.tools.jdbc.DefaultPreparedStatement,class,3,12,9,3,64,3,7,61,2016,0.0,0.0,0.0,64,0,61,0,3,0,64,0,1,0,0,0,0,0,0,0,0,0,0,194,8,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-testcontainers-example\src\main\java\org\jooq\example\testcontainers\db\tables\records\NicerButSlowerFilmListRecord.java,org.jooq.example.testcontainers.db.tables.records.NicerButSlowerFilmListRecord,class,8,10,2,8,53,6,0,28,1378,1.0,0.0,0.0,53,0,53,0,0,0,53,0,0,0,1,1,0,1,0,0,1,0,0,186,43,0,0,0,0,3,17,1,0,1,0,0,0,0,76,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\postgres\PostgresDatabase.java,org.jooq.meta.postgres.PostgresDatabase$Anonymous1,anonymous,5,5,0,5,5,1,0,2,0,0.0,0.0,0.0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,13,1,1,1,0,1,0,4,4,1,4,1,0,0,0,13,-1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\FieldsImpl.java,org.jooq.impl.FieldsImpl$Anonymous2,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\SequenceDefinition.java,org.jooq.meta.SequenceDefinition,interface,2,21,19,2,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\FieldsImpl.java,org.jooq.impl.FieldsImpl$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\InsertOnConflictWhereIndexPredicateStep.java,org.jooq.InsertOnConflictWhereIndexPredicateStep,interface,10,13,3,10,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-spark-chart-example\src\main\java\org\jooq\example\chart\db\tables\records\PaymentP2007_01Record.java,org.jooq.example.chart.db.tables.records.PaymentP2007_01Record,class,7,10,3,7,41,6,0,22,820,1.0,0.0,0.0,41,0,41,0,0,0,41,0,0,0,1,1,0,1,0,0,1,0,0,144,33,0,0,0,0,3,13,1,0,1,0,0,0,0,63,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-testcontainers-example\src\main\java\org\jooq\example\testcontainers\db\tables\StaffList.java,org.jooq.example.testcontainers.db.tables.StaffList,class,15,18,3,15,14,5,0,8,72,0.9153846,0.0,0.0,13,0,11,2,0,0,11,0,0,0,10,2,9,1,0,0,10,0,27,51,7,0,0,0,0,22,6,10,0,10,0,0,0,0,66,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\CursorImpl.java,org.jooq.impl.CursorImpl$CursorResultSet,innerclass,8,8,0,8,199,2,0,203,19306,0.0,0.0,0.0,197,0,195,2,0,0,195,0,193,0,0,0,0,0,0,0,0,0,1,685,96,0,0,0,0,8,0,0,2,0,1,0,0,0,126,16,2
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\DefaultMigrationListener.java,org.jooq.impl.DefaultMigrationListener,class,2,2,0,2,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\InformationSchemaMetaImpl.java,org.jooq.impl.InformationSchemaMetaImpl,class,56,62,6,56,87,20,0,181,23,0.7705883,0.0,0.0,10,1,0,4,0,6,6,0,9,0,17,0,0,17,0,0,17,0,50,400,11,21,36,1,0,45,17,107,18,102,5,0,5,4,156,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\util\xml\jaxb\TableType.java,org.jooq.util.xml.jaxb.TableType,enum,4,6,2,4,8,1,0,3,0,0.25,0.0,0.0,4,1,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,1,26,5,1,0,0,0,8,0,1,0,1,2,0,0,0,50,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\SortFieldImpl.java,org.jooq.impl.SortFieldImpl,class,13,21,8,13,24,2,0,17,0,0.5833334,0.0,0.0,12,0,6,1,0,5,11,0,10,0,5,1,0,5,0,0,3,0,8,66,10,1,2,0,0,4,0,12,0,9,3,0,0,0,47,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\Sequence.java,org.jooq.Sequence,interface,9,41,32,9,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\FlywayFileComparator.java,org.jooq.FlywayFileComparator,class,3,5,2,3,9,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,2,19,4,0,4,0,0,2,8,7,0,7,3,0,0,0,23,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\jaxb\MatcherTransformType.java,org.jooq.meta.jaxb.MatcherTransformType,enum,3,6,3,3,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,36,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\MultisetDataType.java,org.jooq.impl.MultisetDataType,class,16,20,4,16,12,6,0,15,0,0.16666667,0.0,0.0,6,0,4,0,0,2,6,0,2,0,2,0,0,0,0,2,2,0,3,38,7,1,2,0,3,7,0,5,0,4,5,0,0,1,43,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-javafx-example\src\main\java\org\jooq\example\javafx\BarChartSample.java,org.jooq.example.javafx.BarChartSample,class,31,32,1,31,18,2,0,96,30,0.7777778,0.0,0.0,9,1,4,5,0,0,4,0,0,0,2,0,0,0,0,2,0,0,16,136,5,3,0,2,0,24,10,29,2,36,4,0,0,10,102,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\DeleteUsingStep.java,org.jooq.DeleteUsingStep,interface,10,16,6,10,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\ResultOrRows.java,org.jooq.ResultOrRows,interface,3,7,4,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\TruncateImpl.java,org.jooq.impl.TruncateImpl,class,14,17,3,14,18,6,0,7,5,0.6363636,0.0,0.0,11,0,6,0,0,5,11,0,9,0,4,1,0,4,0,0,2,0,1,62,8,0,3,0,0,3,0,8,0,4,2,0,0,0,40,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\FieldOrConstraint.java,org.jooq.FieldOrConstraint,interface,1,8,7,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\RTrim.java,org.jooq.impl.Rtrim,class,9,11,2,9,8,5,0,11,0,0.0,0.0,0.0,4,0,2,0,0,2,4,0,1,0,2,0,0,2,0,0,2,0,9,42,2,0,1,0,2,3,0,4,0,2,2,0,0,0,27,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\jaxb\MatcherRule.java,org.jooq.meta.jaxb.MatcherRule,class,10,21,11,10,21,1,0,12,11,0.6666667,0.0,0.0,10,0,10,0,0,0,10,0,1,0,3,1,0,1,2,0,1,0,1,74,14,0,9,0,9,5,5,9,4,7,2,0,0,0,79,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\TransactionProvider.java,org.jooq.TransactionProvider,interface,1,9,8,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-testcontainers-flyway-example\src\main\java\org\jooq\example\testcontainersflyway\db\tables\SalesByFilmCategory.java,org.jooq.example.testcontainersflyway.db.tables.SalesByFilmCategory,class,15,18,3,15,14,5,0,8,72,0.90384614,0.0,0.0,13,0,11,2,0,0,11,0,0,0,4,2,3,1,0,0,4,0,11,45,7,0,0,0,0,10,2,4,0,4,0,0,0,0,75,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\InCondition.java,org.jooq.impl.InCondition,class,17,20,3,17,26,5,0,41,0,0.6964286,0.0,0.0,7,1,2,3,0,2,4,0,4,0,8,5,0,5,0,3,8,0,15,91,3,2,6,0,0,3,7,12,1,12,5,0,1,2,73,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\XMLForest.java,org.jooq.impl.Xmlforest,class,9,11,2,9,4,5,0,7,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,1,0,1,0,0,1,0,0,1,0,2,16,2,0,0,0,1,2,0,1,0,3,1,0,0,2,20,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\AsteriskImpl.java,org.jooq.impl.AsteriskImpl,class,10,13,3,10,6,2,0,10,4,0.85,0.0,0.0,5,0,4,1,0,0,4,0,4,0,4,3,0,0,0,4,4,0,5,25,3,0,0,0,0,1,0,5,0,5,1,0,0,0,37,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\tools\json\ContentHandler.java,org.jooq.tools.json.ContentHandler,interface,0,1,1,0,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-testcontainers-example\src\main\java\org\jooq\example\testcontainers\db\tables\Country.java,org.jooq.example.testcontainers.db.tables.Country,class,18,22,4,18,16,5,0,17,99,0.9200001,0.0,0.0,15,0,13,2,0,0,13,0,0,0,5,2,4,1,0,0,5,0,15,52,9,0,0,0,0,12,3,5,0,5,0,0,0,0,60,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\postgres\pg_catalog\DefaultCatalog.java,org.jooq.meta.postgres.pg_catalog.DefaultCatalog,class,4,6,2,4,2,4,0,1,1,0.8333333,NaN,NaN,2,0,1,1,0,0,1,0,1,0,3,2,2,1,0,0,3,0,1,11,1,0,0,0,0,4,1,3,0,3,0,0,0,0,36,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-codegen\src\main\java\org\jooq\codegen\GeneratorWriter.java,org.jooq.codegen.GeneratorWriter$CloseResult,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,11,9,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\DefaultBinding.java,org.jooq.impl.DefaultBinding$DefaultRecordBinding,innerclass,46,46,0,46,70,2,0,94,114,0.8125,0.0,0.0,16,5,0,3,0,13,13,0,14,0,1,1,0,1,0,0,1,0,49,124,42,1,36,1,4,18,1,8,2,10,33,0,0,3,119,24,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\impl\DropTypeImpl.java,org.jooq.impl.DropTypeImpl,class,9,11,2,9,7,6,0,3,0,0.5,0.0,0.0,4,0,3,0,0,1,4,0,3,0,4,0,0,4,0,0,2,0,1,26,2,0,0,0,0,0,0,4,0,4,2,0,0,0,35,16,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\exception\TemplatingException.java,org.jooq.exception.TemplatingException,class,1,2,1,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\UpdateSetMoreStep.java,org.jooq.UpdateSetMoreStep,interface,3,5,2,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ\src\main\java\org\jooq\util\jaxb\tools\MiniJAXB.java,org.jooq.util.jaxb.tools.MiniJAXB$Anonymous1,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,3
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-meta\src\main\java\org\jooq\meta\AbstractDatabase.java,org.jooq.meta.AbstractDatabase,class,95,120,25,95,601,1,10,453,37213,0.9917986,0.0,0.0,279,3,225,12,40,2,267,15,207,0,125,2,0,125,0,0,9,0,76,1669,216,60,135,5,25,130,48,276,25,208,7,3,1,34,458,1025,58
D:\trabCKMetrics\repos\jOOQjOOQ\jOOQ-examples\jOOQ-spring-boot-example\src\main\java\org\jooq\example\spring\Application.java,org.jooq.example.spring.Application,class,3,6,3,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0
