file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\facebooklitho\litho-core\src\main\java\com\facebook\litho\Touchable.java,com.facebook.litho.Touchable,interface,2,8,6,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\facebooklitho\sample\src\main\java\com\facebook\samples\litho\java\animations\docs\AlphaTransitionComponentSpec.java,com.facebook.samples.litho.java.animations.docs.AlphaTransitionComponentSpec,class,18,18,0,18,5,1,0,16,4,0.5,0.0,0.0,4,4,0,0,0,4,4,0,0,0,1,1,0,1,0,0,1,0,3,15,2,0,0,0,0,1,4,1,0,1,0,0,0,0,29,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\specmodels\generator\ComponentBodyGeneratorTest.java,com.facebook.litho.specmodels.generator.ComponentBodyGeneratorTest$CollectionObject,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ExecutorLithoHandlerTest.java,com.facebook.litho.ExecutorLithoHandlerTest$QueuingExecutor,innerclass,0,0,0,0,3,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,12,0,1,0,0,0,0,0,2,0,2,1,0,0,0,10,10,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,class,16,16,0,16,17,1,0,20,0,0.7058824,0.0,0.0,17,0,17,0,0,0,17,0,0,0,4,0,1,3,0,0,1,0,57,141,0,0,0,0,0,402,0,54,16,71,0,0,1,16,71,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-core\src\main\java\com\facebook\litho\ComponentFocusChangeListener.java,com.facebook.litho.ComponentFocusChangeListener,class,5,10,5,5,4,1,0,1,0,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,1,14,1,0,1,0,0,0,0,1,0,1,1,0,0,0,23,0,0
D:\trabCKMetrics\repos\facebooklitho\litho-core\src\main\java\com\facebook\litho\FocusChangedEvent.java,com.facebook.litho.FocusChangedEvent,class,2,14,12,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-core\src\main\java\com\facebook\litho\TreeProps.java,com.facebook.litho.TreeProps,class,6,50,44,6,12,1,0,9,0,0.14285715,0.0,0.0,7,2,6,0,0,1,7,0,0,0,1,0,0,1,0,0,1,0,3,40,8,0,5,0,0,0,0,3,0,3,2,0,0,0,55,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous1,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,class,17,17,0,17,5,1,0,34,0,0.36,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,5,0,49,51,0,0,0,0,0,10,12,19,1,19,0,0,0,0,64,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous2,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous3,anonymous,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-widget\src\main\java\com\facebook\litho\widget\VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,class,2,3,1,2,5,1,0,3,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,16,0,0,2,0,0,0,0,1,0,1,1,0,0,0,29,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous4,anonymous,1,1,0,1,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-intellij-plugin\testdata\processor\PsiMountSpecModelFactoryTest.java,TestTreeProp,class,1,3,2,1,8,1,0,2,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,22,5,0,4,0,0,0,0,2,0,2,1,0,0,0,16,8,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous5,anonymous,1,1,0,1,3,1,0,1,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ViewCompatComponentTest.java,com.facebook.litho.ViewCompatComponentTest$Anonymous6,anonymous,1,1,0,1,3,1,0,1,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,0,1,0,1,0,0,0,0,9,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-processor\src\main\java\com\facebook\litho\specmodels\generator\ComponentBodyGenerator.java,com.facebook.litho.specmodels.generator.ComponentBodyGenerator,class,51,66,15,51,153,1,0,166,630,1.0,0.0,0.0,36,35,3,6,0,27,30,0,0,0,3,3,0,0,0,3,3,0,75,502,62,14,17,0,6,162,31,95,28,95,3,0,0,4,218,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\specmodels\generator\StateGeneratorTest.java,com.facebook.litho.specmodels.generator.StateGeneratorTest$TestWithStateSpec,innerclass,9,9,0,9,3,1,0,0,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore-transitions\src\main\java\com\facebook\litho\animation\AnimatedPropertyNode.java,com.facebook.litho.animation.AnimatedPropertyNode,class,6,13,7,6,20,2,0,20,16,0.6666667,0.0,0.0,8,1,4,3,0,1,5,0,0,0,3,0,0,3,0,0,2,0,2,68,9,2,6,0,2,0,2,13,0,13,2,0,0,0,80,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore\src\main\java\com\facebook\rendercore\instrumentation\HandlerInstrumenter.java,com.facebook.rendercore.instrumentation.HandlerInstrumenter,class,4,6,2,4,3,1,0,1,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,16,2,0,1,0,0,0,0,2,0,2,1,0,1,0,9,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-editor-core\src\main\java\com\facebook\litho\editor\model\EditorValue.java,com.facebook.litho.editor.model.EditorValue$EditorPrimitiveVisitor,interface,4,4,0,4,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-core\src\main\java\com\facebook\litho\DefaultComponentsReporter.java,com.facebook.litho.DefaultComponentsReporter,class,6,12,6,6,7,2,3,6,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,1,25,0,0,0,0,0,1,1,1,3,1,1,0,0,0,32,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\specmodels\processor\TagExtractorTest.java,com.facebook.litho.specmodels.processor.TagExtractorTest,class,14,14,0,14,8,1,0,14,0,0.5416667,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,1,2,0,0,0,0,4,58,0,0,0,0,0,6,8,11,0,11,0,0,4,0,34,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\widget\RecyclerBinderSubAdapterTest.java,com.facebook.litho.widget.RecyclerBinderSubAdapterTest,class,13,13,0,13,9,2,0,20,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,3,113,0,3,0,0,0,0,14,14,0,14,1,0,1,0,43,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ComponentHostTest.java,com.facebook.litho.ComponentHostTest$TestableComponentHost,innerclass,6,6,0,6,12,4,0,12,60,0.8333333,0.0,0.0,12,0,8,1,0,3,11,0,0,0,3,0,0,3,0,0,0,0,0,49,4,0,0,0,0,0,4,4,0,3,0,0,0,0,24,10,0
D:\trabCKMetrics\repos\facebooklitho\litho-widget\src\main\java\com\facebook\litho\widget\CenterSnappingSmoothScroller.java,com.facebook.litho.widget.CenterSnappingSmoothScroller,class,3,4,1,3,3,2,0,0,1,0.5,0.0,0.0,3,0,2,0,1,0,3,0,0,0,2,1,0,2,0,0,2,0,0,15,2,0,0,0,4,0,3,3,9,3,0,0,0,0,48,1,0
D:\trabCKMetrics\repos\facebooklitho\sample\src\main\java\com\facebook\samples\litho\java\animations\docs\AppearTransitionComponentSpec.java,com.facebook.samples.litho.java.animations.docs.AppearTransitionComponentSpec,class,18,18,0,18,5,1,0,18,4,0.5,0.0,0.0,4,4,0,0,0,4,4,0,0,0,1,1,0,1,0,0,1,0,2,22,2,0,0,0,0,1,5,3,0,2,1,0,0,0,31,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\ComponentHostMatchers.java,com.facebook.litho.testing.espresso.ComponentHostMatchers$Anonymous4,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\main\java\com\facebook\litho\widget\RecordsShouldUpdateSpec.java,com.facebook.litho.widget.RecordsShouldUpdateSpec,class,12,12,0,12,4,1,0,2,6,0.0,0.0,0.0,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,2,2,0,0,0,0,0,0,41,1,0
D:\trabCKMetrics\repos\facebooklitho\lib\yoga\src\main\java\com\facebook\yoga\YogaDimension.java,com.facebook.yoga.YogaDimension,enum,1,2,1,1,5,1,0,0,1,0.33333334,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,18,3,0,0,0,0,1,4,1,1,1,1,0,0,0,19,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\main\java\com\facebook\litho\widget\LayoutSpecWillRenderReuseTesterSpec.java,com.facebook.litho.widget.LayoutSpecWillRenderReuseTesterSpec,class,13,13,0,13,2,1,0,10,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-sections-core\src\main\java\com\facebook\litho\sections\SectionTreeLoadingEventHandler.java,com.facebook.litho.sections.SectionTreeLoadingEventHandler,class,3,4,1,3,4,2,0,2,0,0.33333334,0.0,0.0,3,0,1,0,0,2,3,0,0,0,2,1,0,2,0,0,2,0,0,19,1,0,1,0,0,0,1,4,0,3,1,0,0,0,18,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-core\src\main\java\com\facebook\litho\LithoRenderUnit.java,com.facebook.litho.LithoRenderUnit$LithoMountBinder,innerclass,8,8,0,8,6,1,0,7,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,9,17,1,0,3,0,0,0,2,6,0,6,0,0,0,0,36,9,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore\src\main\java\com\facebook\rendercore\renderunits\HostRenderUnit.java,com.facebook.rendercore.renderunits.HostRenderUnit$Anonymous1,anonymous,4,4,0,4,4,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,3,0,0,0,0,2,0,2,1,0,0,0,19,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-core\src\main\java\com\facebook\litho\MatrixDrawable.java,com.facebook.litho.MatrixDrawable,class,19,24,5,19,71,2,0,45,14,0.8108108,0.0,0.0,37,0,34,2,1,0,35,0,0,0,6,1,1,5,0,0,1,0,1,184,25,0,30,1,3,0,6,17,2,12,2,0,0,0,125,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-intellij-plugin\testdata\completion\LayoutSpecAnnotationsContributorSpec.java,LayoutSpecAnnotationsContributorSpecSpec,class,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
D:\trabCKMetrics\repos\facebooklitho\sample\src\main\java\com\facebook\samples\litho\java\editor\SimpleEditorComponentSpec.java,com.facebook.samples.litho.java.editor.SimpleEditorComponentSpec$Emotions$Anonymous1,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore\src\main\java\com\facebook\rendercore\renderunits\HostRenderUnit.java,com.facebook.rendercore.renderunits.HostRenderUnit$Anonymous4,anonymous,7,7,0,7,6,1,0,19,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,4,0,0,0,0,4,0,4,1,0,0,0,32,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\dataflow\OutputOnlyNode.java,com.facebook.litho.dataflow.OutputOnlyNode,class,1,7,6,1,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-testing\src\main\java\com\facebook\litho\BaseMatcherBuilder.java,com.facebook.litho.BaseMatcherBuilder$Anonymous1,anonymous,4,4,0,4,22,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,14,0,0,7,0,2,0,2,1,0,0,0,17,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore\src\main\java\com\facebook\rendercore\renderunits\HostRenderUnit.java,com.facebook.rendercore.renderunits.HostRenderUnit$Anonymous2,anonymous,4,4,0,4,4,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,3,0,0,0,0,2,0,2,1,0,0,0,19,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-intellij-plugin\testdata\completion\EventHandlerCompletionContributorTest.java,EventHandlerAnnotatorSpec$Component,innerclass,5,5,0,5,3,1,0,0,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore\src\main\java\com\facebook\rendercore\renderunits\HostRenderUnit.java,com.facebook.rendercore.renderunits.HostRenderUnit$Anonymous3,anonymous,4,4,0,4,4,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
D:\trabCKMetrics\repos\facebooklitho\sample\src\main\java\com\facebook\samples\litho\java\hscroll\HorizontalScrollWithSnapActivity.java,com.facebook.samples.litho.java.hscroll.HorizontalScrollWithSnapActivity,class,6,6,0,6,1,3,0,9,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,2,13,0,0,0,0,0,0,0,4,0,4,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ComponentTreeTest.java,com.facebook.litho.ComponentTreeTest$Anonymous3$Anonymous4,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\trabCKMetrics\repos\facebooklitho\lib\yoga\src\main\java\com\facebook\yoga\YogaMeasureFunction.java,com.facebook.yoga.YogaMeasureFunction,interface,2,15,13,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-editor-flipper\src\main\java\com\facebook\litho\editor\flipper\LithoRecyclerViewDescriptor.java,com.facebook.litho.editor.flipper.LithoRecyclerViewDescriptor,class,12,14,2,12,22,2,0,26,210,0.0,0.0,0.0,21,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,102,15,1,0,0,0,0,5,22,0,22,1,1,0,0,51,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-widget\src\main\java\com\facebook\litho\widget\RenderInfo.java,com.facebook.litho.widget.RenderInfo,interface,7,112,105,7,19,1,0,0,171,0.0,0.0,0.0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\ComponentHostMatchers.java,com.facebook.litho.testing.espresso.ComponentHostMatchers$Anonymous1,anonymous,2,2,0,2,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,1,1,0,0,0,0,1,0,0,0,13,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\rules\AnimationRunnerTestRule.java,com.facebook.litho.testing.espresso.rules.AnimationRunnerTestRule,class,5,5,0,5,2,2,0,7,1,0.75,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,1,1,1,0,0,1,0,3,20,0,0,0,0,0,0,2,3,0,2,0,1,0,0,45,1,0
D:\trabCKMetrics\repos\facebooklitho\sample\src\main\java\com\facebook\samples\litho\java\lithography\Datum.java,com.facebook.samples.litho.java.lithography.Datum,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\ComponentHostMatchers.java,com.facebook.litho.testing.espresso.ComponentHostMatchers$Anonymous3,anonymous,3,3,0,3,6,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,1,0,1,1,0,1,0,1,2,0,0,0,21,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-processor\src\main\java\com\facebook\litho\specmodels\model\FieldModel.java,com.facebook.litho.specmodels.model.FieldModel,class,2,27,25,2,6,1,0,3,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,2,0,3,17,4,0,3,0,0,0,0,3,0,3,1,0,0,0,18,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\ComponentHostMatchers.java,com.facebook.litho.testing.espresso.ComponentHostMatchers$Anonymous2,anonymous,3,3,0,3,6,1,0,11,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,36,3,1,0,1,1,6,1,10,2,9,3,0,0,0,43,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\sections\ChangeSetTest.java,com.facebook.litho.sections.ChangeSetTest,class,10,11,1,10,11,1,0,34,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,63,112,1,4,0,0,0,0,94,16,0,16,1,0,0,0,35,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\widget\RecyclerBinderUpdateCallbackTest.java,com.facebook.litho.widget.RecyclerBinderUpdateCallbackTest,class,21,22,1,21,17,1,0,42,3,0.5,0.0,0.0,6,1,5,1,0,0,5,0,0,0,9,3,0,9,0,0,3,0,4,153,0,11,0,0,0,3,62,45,4,45,1,2,1,0,78,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-intellij-plugin\testdata\navigation\GroupSectionSpecMethodDeclarationHandlerTest.java,TestGroupSectionSpec$TestGroupSection,innerclass,2,2,0,2,2,2,0,0,1,0.0,0.0,0.0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore-transitions\src\main\java\com\facebook\litho\TransitionManager.java,com.facebook.litho.TransitionManager$RootAnimationListener,innerclass,2,2,0,2,5,1,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0
D:\trabCKMetrics\repos\facebooklitho\litho-widget\src\main\java\com\facebook\litho\widget\LayoutInfoUtils.java,com.facebook.litho.widget.LayoutInfoUtils,class,5,9,4,5,13,1,0,10,10,0.0,0.0,0.0,5,4,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,42,4,2,2,0,2,1,5,15,0,10,3,0,0,0,60,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore\src\main\java\com\facebook\rendercore\utils\LayoutUtils.java,com.facebook.rendercore.utils.LayoutUtils$API17LayoutUtils,innerclass,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0
D:\trabCKMetrics\repos\facebooklitho\litho-editor-core\src\main\java\com\facebook\litho\editor\instances\AtomicBooleanEditorInstance.java,com.facebook.litho.editor.instances.AtomicBooleanEditorInstance,class,4,5,1,4,3,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,16,2,0,1,0,0,1,0,1,0,1,0,1,0,0,14,1,0
D:\trabCKMetrics\repos\facebooklitho\sample-codelab\src\main\java\com\facebook\samples\lithocodelab\examples\modules\LearningClickEventsComponentSpec.java,com.facebook.samples.lithocodelab.examples.modules.LearningClickEventsComponentSpec,class,12,12,0,12,5,1,0,29,10,0.0,0.0,0.0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0,0,9,13,0,2,0,0,0,0,0,49,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-processor\src\main\java\com\facebook\litho\specmodels\model\PropValidation.java,com.facebook.litho.specmodels.model.PropValidation,class,14,17,3,14,56,1,0,38,1,0.8333333,NaN,NaN,2,2,0,1,0,1,1,0,0,0,3,3,2,1,0,0,3,0,8,156,3,6,4,0,4,263,3,18,15,17,5,0,1,0,126,1,0
D:\trabCKMetrics\repos\facebooklitho\litho-core\src\main\java\com\facebook\litho\LithoViewAttributesExtension.java,com.facebook.litho.LithoViewAttributesExtension$LithoViewAttributesState,innerclass,0,0,0,0,4,1,0,3,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,16,2,0,1,0,0,1,0,2,0,2,1,0,0,0,26,8,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore-transitions\src\main\java\com\facebook\litho\animation\DelayBinding.java,com.facebook.litho.animation.DelayBinding$Anonymous2,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-rendercore-transitions\src\main\java\com\facebook\litho\animation\DelayBinding.java,com.facebook.litho.animation.DelayBinding$Anonymous1,anonymous,3,3,0,3,5,1,0,3,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-it\src\test\java\com\facebook\litho\ComponentTreeMountTest.java,com.facebook.litho.ComponentTreeMountTest$Anonymous1,anonymous,5,5,0,5,1,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,1,3,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\facebooklitho\litho-sections-core\src\main\java\com\facebook\litho\sections\SectionKeyNotFoundException.java,com.facebook.litho.sections.SectionKeyNotFoundException,class,0,1,1,0,4,4,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
