file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\scribbles\ImageEditorFragment.java,org.thoughtcrime.securesms.scribbles.ImageEditorFragment,class,58,62,4,58,117,2,0,178,303,0.90476197,0.0,0.0,46,4,33,12,1,0,34,0,0,0,21,6,0,21,0,0,10,0,20,605,21,1,35,1,10,6,21,87,14,81,3,4,4,8,272,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\devicetransfer\olddevice\OldDeviceTransferInstructionsFragment.java,org.thoughtcrime.securesms.devicetransfer.olddevice.OldDeviceTransferInstructionsFragment,class,8,8,0,8,5,3,0,13,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,1,0,0,0,0,1,0,3,2,0,0,2,30,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\contacts\avatars\ProfileContactPhoto.java,org.thoughtcrime.securesms.contacts.avatars.ProfileContactPhoto,class,10,17,7,10,14,1,0,14,0,0.375,0.0,0.0,8,0,7,1,0,0,7,0,0,0,2,0,0,2,0,0,2,0,4,37,9,0,5,0,0,1,1,3,0,3,1,0,0,0,37,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\sms\IncomingIdentityDefaultMessage.java,org.thoughtcrime.securesms.sms.IncomingIdentityDefaultMessage,class,1,2,1,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\contacts\sync\PhoneNumberRecord.java,org.thoughtcrime.securesms.contacts.sync.PhoneNumberRecord,class,5,7,2,5,7,1,0,1,9,0.7142858,0.0,0.0,7,0,0,1,0,6,6,0,0,0,6,0,0,6,0,0,6,0,1,69,6,0,0,0,0,0,0,6,0,6,0,0,1,0,29,16,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\glide\cache\ApngFrameDrawableTranscoder.java,org.thoughtcrime.securesms.glide.cache.ApngFrameDrawableTranscoder$Anonymous1,anonymous,2,2,0,2,4,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\jobs\PushGroupSilentUpdateSendJob.java,org.thoughtcrime.securesms.jobs.PushGroupSilentUpdateSendJob,class,34,37,3,34,14,3,0,57,2,0.725,0.0,0.0,8,1,4,2,2,0,6,0,0,0,10,6,1,9,0,0,10,0,16,80,7,1,1,0,1,12,1,22,7,26,1,0,1,4,96,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\util\GroupUtil.java,org.thoughtcrime.securesms.util.GroupUtil$GroupDescription,innerclass,10,10,0,10,12,1,0,19,0,0.22222222,0.0,0.0,3,0,1,1,0,1,2,0,0,0,3,0,0,3,0,0,3,0,2,42,3,1,5,0,0,4,3,9,1,8,2,0,0,0,19,9,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\util\MappingAdapter.java,org.thoughtcrime.securesms.util.MappingAdapter,class,17,31,14,17,17,2,10,27,56,0.77777773,0.0,0.0,12,0,12,0,0,0,12,0,0,0,3,0,0,3,0,0,2,0,3,97,6,0,3,0,0,1,2,6,1,7,1,0,3,1,158,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\util\HtmlUtil.java,org.thoughtcrime.securesms.util.HtmlUtil,class,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\push\SignalServiceEnvelopeEntityList.java,org.whispersystems.signalservice.internal.push.SignalServiceEnvelopeEntityList,class,1,2,1,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\mediaoverview\MediaOverviewPageFragment.java,org.thoughtcrime.securesms.mediaoverview.MediaOverviewPageFragment$ActionModeCallback,innerclass,11,11,0,11,8,1,0,20,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,4,38,6,0,0,0,1,0,0,4,0,3,1,0,0,1,36,2,0
D:\trabCKMetrics\repos\signalappSignal-Android\libsignal\service\src\main\java\org\whispersystems\signalservice\api\groupsv2\GroupsV2AuthorizationString.java,org.whispersystems.signalservice.api.groupsv2.GroupsV2AuthorizationString,class,3,6,3,3,2,1,0,4,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,11,1,0,0,0,0,0,0,3,0,3,0,0,0,0,14,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\BindableConversationItem.java,org.thoughtcrime.securesms.BindableConversationItem,interface,14,18,4,14,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\megaphone\Megaphone.java,org.thoughtcrime.securesms.megaphone.Megaphone,class,12,24,12,12,20,1,0,0,115,0.8814816,0.0,0.0,18,0,17,1,0,0,17,0,0,0,15,0,0,15,0,0,15,0,0,176,17,0,2,0,0,0,2,15,0,15,0,0,4,0,97,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\test\java\org\thoughtcrime\securesms\payments\history\BlockTransactionReconstructionTests.java,org.thoughtcrime.securesms.payments.history.BlockTransactionReconstructionTests$ReceivedList,innerclass,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\payments\preferences\PaymentsHomeRepository.java,org.thoughtcrime.securesms.payments.preferences.PaymentsHomeRepository,class,13,17,4,13,7,1,0,16,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,19,48,0,0,0,2,0,5,0,1,0,1,2,0,1,2,34,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\preferences\ApplicationPreferencesViewModel.java,org.thoughtcrime.securesms.preferences.ApplicationPreferencesViewModel,class,11,13,2,11,3,2,0,12,1,0.33333334,0.0,0.0,3,1,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,2,17,2,0,0,0,0,0,0,3,0,3,1,0,0,1,16,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\backup\FullBackupBase.java,org.thoughtcrime.securesms.backup.FullBackupBase$BackupEvent,innerclass,1,1,0,1,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,1,0,15,9,0
D:\trabCKMetrics\repos\signalappSignal-Android\video\src\main\java\org\thoughtcrime\securesms\video\videoconverter\muxer\H264Utils.java,org.thoughtcrime.securesms.video.videoconverter.muxer.H264Utils,class,2,5,3,2,15,1,0,11,10,0.0,0.0,0.0,5,4,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,45,5,3,4,0,6,0,13,10,2,6,2,0,0,0,48,16,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\groups\ui\GroupMemberEntry.java,org.thoughtcrime.securesms.groups.ui.GroupMemberEntry$PendingMember,innerclass,7,7,0,7,15,2,0,7,0,0.375,0.0,0.0,8,0,7,0,0,1,8,0,0,0,3,0,0,3,0,0,3,0,2,44,8,0,3,0,3,1,4,8,1,5,1,0,0,0,38,25,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\components\TransferControlView.java,org.thoughtcrime.securesms.components.TransferControlView,class,15,18,3,15,46,2,0,51,106,0.82777774,0.0,0.0,20,1,13,5,2,0,15,0,0,0,9,2,0,9,0,0,7,0,5,180,8,5,12,0,1,1,12,22,9,19,2,0,0,2,113,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\wallpaper\crop\WallpaperCropActivity.java,org.thoughtcrime.securesms.wallpaper.crop.WallpaperCropActivity,class,35,37,2,35,15,4,0,75,12,0.7083333,0.0,0.0,8,1,2,3,3,0,5,0,0,0,6,3,0,6,0,0,4,0,9,131,4,0,4,0,1,5,1,30,3,46,2,1,1,6,109,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\notifications\RemoteReplyReceiver.java,org.thoughtcrime.securesms.notifications.RemoteReplyReceiver,class,18,18,0,18,9,2,0,24,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,4,4,0,0,0,4,0,15,51,2,0,4,0,0,8,5,18,0,16,3,0,0,1,64,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\crypto\storage\TextSecureIdentityKeyStore.java,org.thoughtcrime.securesms.crypto.storage.TextSecureIdentityKeyStore$Cache,innerclass,9,9,0,9,11,1,0,16,0,0.125,0.0,0.0,8,0,7,0,0,1,8,0,0,7,2,0,0,2,0,0,2,0,0,45,2,0,2,0,0,0,1,4,0,4,1,0,0,0,26,26,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\jobs\StorageSyncJob.java,org.thoughtcrime.securesms.jobs.StorageSyncJob,class,56,65,9,56,44,9,0,112,51,0.8484848,0.0,0.0,11,3,4,5,2,0,6,0,0,0,3,3,2,1,0,0,3,0,67,245,10,2,7,3,0,45,4,41,14,35,4,0,4,0,374,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\database\DatabaseContentProviders.java,org.thoughtcrime.securesms.database.DatabaseContentProviders$NoopContentProvider,innerclass,6,6,0,6,6,2,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,2,0,0,0,0,0,0,0,22,1034,0
D:\trabCKMetrics\repos\signalappSignal-Android\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\push\DeviceLimit.java,org.whispersystems.signalservice.internal.push.DeviceLimit,class,1,4,3,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\components\settings\CustomizableSingleSelectSetting.java,org.thoughtcrime.securesms.components.settings.CustomizableSingleSelectSetting,class,3,3,0,3,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\push\PreKeyResponseItem.java,org.whispersystems.signalservice.internal.push.PreKeyResponseItem,class,3,5,2,3,4,1,0,0,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,4,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\conversation\ConversationMessage.java,org.thoughtcrime.securesms.conversation.ConversationMessage,class,11,37,26,11,18,1,0,14,0,0.6388889,0.0,0.0,9,0,7,2,0,0,7,0,0,0,4,0,0,4,0,0,4,0,3,75,9,0,7,0,2,2,0,7,1,7,1,0,1,0,47,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\groups\GroupManagerV2.java,org.thoughtcrime.securesms.groups.GroupManagerV2$GroupEditor,innerclass,57,57,0,57,56,2,0,113,0,0.60227275,0.0,0.0,22,0,2,4,0,16,18,0,0,0,4,0,0,4,0,0,4,0,52,259,29,1,9,6,0,15,4,58,5,56,3,0,0,3,179,16,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\contacts\ContactRepository.java,org.thoughtcrime.securesms.contacts.ContactRepository$SearchCursorWrapper,innerclass,4,4,0,4,9,2,0,7,0,0.5357143,0.0,0.0,7,0,6,0,0,1,7,0,0,0,4,0,0,4,0,0,4,0,1,42,6,1,1,0,0,0,1,8,0,7,1,0,0,0,40,10,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\payments\create\InputTarget.java,org.thoughtcrime.securesms.payments.create.InputTarget,enum,1,6,5,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\conversation\AttachmentKeyboardButtonAdapter.java,org.thoughtcrime.securesms.conversation.AttachmentKeyboardButtonAdapter$ButtonViewHolder,innerclass,7,7,0,7,4,2,0,8,1,0.33333334,0.0,0.0,3,0,1,0,0,2,3,0,0,0,2,0,0,2,0,0,2,0,0,23,0,0,0,0,0,0,0,2,0,3,1,0,0,1,19,8,0
D:\trabCKMetrics\repos\signalappSignal-Android\device-transfer\lib\src\main\java\org\signal\devicetransfer\DeviceTransferClient.java,org.signal.devicetransfer.DeviceTransferClient$WifiDirectListener,innerclass,5,5,0,5,5,1,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,34,16,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\sharing\ShareActivity.java,org.thoughtcrime.securesms.sharing.ShareActivity$Anonymous1,anonymous,1,1,0,1,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
D:\trabCKMetrics\repos\signalappSignal-Android\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\push\PushServiceSocket.java,org.whispersystems.signalservice.internal.push.PushServiceSocket$RegistrationLockV2,innerclass,1,1,0,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,10,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\payments\backup\phrase\MnemonicPart.java,org.thoughtcrime.securesms.payments.backup.phrase.MnemonicPart,class,1,4,3,1,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,16,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\reactions\any\ReactWithAnyEmojiViewModel.java,org.thoughtcrime.securesms.reactions.any.ReactWithAnyEmojiViewModel,class,25,30,5,25,16,2,0,36,22,0.77777773,0.0,0.0,9,2,2,3,0,4,6,0,0,0,9,1,0,9,0,0,9,0,7,116,13,2,0,0,0,0,2,15,0,24,3,0,2,7,60,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\groups\ui\PopupMenuView.java,org.thoughtcrime.securesms.groups.ui.PopupMenuView$PrepareOptionsMenuItem,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\test\java\org\thoughtcrime\securesms\registration\v2\PinHasher_normalize_Test.java,org.thoughtcrime.securesms.registration.v2.PinHasher_normalize_Test,class,8,9,1,8,5,1,0,14,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,17,1,1,0,1,0,2,1,3,0,3,2,0,0,0,24,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\mediasend\MediaSendGifFragment.java,org.thoughtcrime.securesms.mediasend.MediaSendGifFragment,class,12,13,1,12,9,2,0,10,24,0.6666667,0.0,0.0,9,1,9,0,0,0,9,0,0,0,2,1,0,2,0,0,1,0,0,36,5,0,0,0,0,1,0,5,0,4,0,0,0,0,42,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\database\MessageDatabase.java,org.thoughtcrime.securesms.database.MessageDatabase$InsertResult,innerclass,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,9,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\jobs\NullMessageSendJob.java,org.thoughtcrime.securesms.jobs.NullMessageSendJob,class,18,21,3,18,10,3,0,20,7,0.71428573,0.0,0.0,7,0,4,1,2,0,6,0,0,0,4,3,1,3,0,0,4,0,8,48,4,0,0,1,0,5,1,8,1,8,1,0,1,0,63,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\libsignal\service\src\main\java\org\whispersystems\signalservice\api\messages\SignalServiceGroup.java,org.whispersystems.signalservice.api.messages.SignalServiceGroup,class,6,16,10,6,9,1,0,1,18,0.73333335,0.0,0.0,9,2,9,0,0,0,9,0,0,0,5,0,0,5,0,0,5,0,0,72,7,0,0,0,0,0,0,5,0,5,0,0,2,0,81,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\components\camera\CameraUtils.java,org.thoughtcrime.securesms.components.camera.CameraUtils$AreaComparator,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,5,10,0
D:\trabCKMetrics\repos\signalappSignal-Android\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\util\StaticCredentialsProvider.java,org.whispersystems.signalservice.internal.util.StaticCredentialsProvider,class,1,2,1,1,4,1,0,0,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\giph\model\GiphyImage.java,org.thoughtcrime.securesms.giph.model.GiphyImage$SizeFunction,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\profiles\AvatarHelper.java,org.thoughtcrime.securesms.profiles.AvatarHelper,class,17,46,29,17,18,1,0,28,53,0.9318182,0.0,0.0,11,11,10,1,0,0,10,0,0,0,4,4,2,2,0,0,2,0,25,118,15,0,2,2,0,2,5,17,0,16,1,1,1,1,112,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\imageeditor\ColorableRenderer.java,org.thoughtcrime.securesms.imageeditor.ColorableRenderer,interface,2,7,5,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\video\src\main\java\org\thoughtcrime\securesms\video\videoconverter\EncodingException.java,org.thoughtcrime.securesms.video.videoconverter.EncodingException,class,0,1,1,0,2,3,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\conversation\ConversationViewModel.java,org.thoughtcrime.securesms.conversation.ConversationViewModel,class,48,55,7,48,35,3,0,70,281,0.91407424,0.0,0.0,27,0,1,2,1,23,25,0,0,0,25,1,0,25,0,0,23,0,14,211,22,1,2,0,0,7,12,48,3,58,2,0,3,15,135,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\components\PaymentPillStrip.java,org.thoughtcrime.securesms.components.PaymentPillStrip,class,6,6,0,6,10,2,0,9,13,0.6666667,0.0,0.0,6,0,4,0,2,0,6,0,0,0,2,0,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,2,0,2,1,0,0,0,28,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\net\UserAgentInterceptor.java,org.thoughtcrime.securesms.net.UserAgentInterceptor,class,4,6,2,4,2,1,1,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\util\DynamicDarkActionBarTheme.java,org.thoughtcrime.securesms.util.DynamicDarkActionBarTheme,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\jobs\RetrieveProfileAvatarJob.java,org.thoughtcrime.securesms.jobs.RetrieveProfileAvatarJob$Factory,innerclass,7,7,0,7,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\logsubmit\LogSectionFeatureFlags.java,org.thoughtcrime.securesms.logsubmit.LogSectionFeatureFlags,class,5,6,1,5,7,1,0,16,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,41,2,4,0,0,0,17,4,9,0,9,2,0,0,0,23,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\jobs\PushNotificationReceiveJob.java,org.thoughtcrime.securesms.jobs.PushNotificationReceiveJob,class,14,21,7,14,10,3,0,13,16,0.7222222,0.0,0.0,9,1,7,2,0,0,7,0,0,0,4,3,1,3,0,0,4,0,5,47,4,0,0,0,0,6,2,6,0,6,1,0,1,0,59,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\preferences\widgets\StorageGraphView.java,org.thoughtcrime.securesms.preferences.widgets.StorageGraphView,class,12,14,2,12,11,2,0,19,13,0.71428573,0.0,0.0,7,0,4,1,2,0,6,0,0,0,5,0,0,5,0,0,3,0,1,79,1,1,2,0,1,0,9,17,5,13,1,0,2,0,46,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\test\java\org\thoughtcrime\securesms\camera\OrderEnforcerTest.java,org.thoughtcrime.securesms.camera.OrderEnforcerTest,class,4,4,0,4,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,19,8,0,8,0,0,2,0,24,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\components\RecyclerViewFastScroller.java,org.thoughtcrime.securesms.components.RecyclerViewFastScroller,class,17,21,4,17,27,2,0,39,3,0.6875,0.0,0.0,10,0,4,4,2,0,6,0,0,0,8,2,0,8,0,0,5,0,3,141,4,0,9,0,5,2,14,20,15,17,2,3,1,0,91,17,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\crypto\ReentrantSessionLock.java,org.thoughtcrime.securesms.crypto.ReentrantSessionLock,enum,1,9,8,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\groups\v2\GroupInviteLinkUrl.java,org.thoughtcrime.securesms.groups.v2.GroupInviteLinkUrl$UnknownGroupLinkVersionException,innerclass,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0
D:\trabCKMetrics\repos\signalappSignal-Android\device-transfer\lib\src\test\java\org\signal\devicetransfer\WifiDirectTest.java,org.signal.devicetransfer.WifiDirectTest,class,6,6,0,6,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,7,0,5,0,5,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\signalappSignal-Android\app\src\main\java\org\thoughtcrime\securesms\messages\MessageRetrievalStrategy.java,org.thoughtcrime.securesms.messages.MessageRetrievalStrategy$QueueFindingJobListener,innerclass,6,6,0,6,2,1,0,3,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,0,0,1,0,1,1,0,0,0,11,12,0
