file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastBooleanToByteFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastBooleanToByteFunctionFactory$Func,innerclass,4,4,0,4,3,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,9,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\griffin\TimestampQueryTest.java,io.questdb.griffin.TimestampQueryTest,class,10,11,1,10,66,3,0,42,1485,0.0,0.0,0.0,55,0,50,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,138,763,1,6,0,6,5,631,40,249,142,145,4,0,0,54,199,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqByteFunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqByteFunctionFactory$Func,innerclass,4,4,0,4,6,3,0,1,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,3,0,2,0,1,0,0,2,0,2,0,0,0,0,14,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\table\SequentialRowCursorFactory.java,io.questdb.griffin.engine.table.SequentialRowCursorFactory,class,7,9,2,7,5,1,0,6,0,0.41666666,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,1,49,2,1,0,0,0,0,1,5,0,5,1,0,1,0,24,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\math\MulLongFunctionFactory.java,io.questdb.griffin.engine.functions.math.MulLongFunctionFactory,class,9,9,0,9,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,2,0,0,0,0,0,1,0,18,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\log\Log.java,io.questdb.log.Log,interface,1,150,149,1,15,1,0,0,105,0.0,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastStrToFloatFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastStrToFloatFunctionFactory,class,9,9,0,9,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,1,1,0,0,0,0,0,1,0,20,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\cutlass\line\tcp\AuthDb.java,io.questdb.cutlass.line.tcp.AuthDb,class,5,12,7,5,16,1,0,25,0,0.6666667,0.0,0.0,4,2,3,0,0,1,4,0,0,0,6,5,4,2,0,0,6,0,9,90,3,2,5,3,1,16,13,31,5,29,4,0,0,0,98,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\cutlass\line\udp\LineUdpInsertIntGeoHashTest.java,io.questdb.cutlass.line.udp.LineUdpInsertIntGeoHashTest,class,6,6,0,6,7,4,0,13,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,68,0,0,0,9,0,50,16,9,7,9,4,0,0,4,45,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqDoubleFunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqDoubleFunctionFactory$FuncDoubleIsNaN,innerclass,4,4,0,4,4,3,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,1,12,2,0,1,0,1,0,0,1,0,1,0,0,0,0,16,12,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\rnd\RndIntFunctionFactory.java,io.questdb.griffin.engine.functions.rnd.RndIntFunctionFactory,class,8,8,0,8,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,1,0,0,0,0,0,0,1,0,15,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\tasks\TelemetryTask.java,io.questdb.tasks.TelemetryTask,class,6,11,5,6,4,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,24,0,1,2,0,0,0,2,9,0,9,2,0,0,0,22,17,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\cutlass\json\JsonLexerTest.java,io.questdb.cutlass.json.JsonLexerTest,class,16,17,1,16,48,1,0,35,578,0.8194444,0.0,0.0,36,1,33,3,0,0,33,0,0,0,2,2,0,2,0,0,2,0,33,327,0,6,1,12,0,418,48,36,28,35,5,0,2,1,117,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\std\AbstractLowerCaseAsciiCharSequenceHashSet.java,io.questdb.std.AbstractLowerCaseAsciiCharSequenceHashSet,class,4,13,9,4,33,1,3,15,30,0.6923078,0.0,0.0,13,0,9,2,2,0,11,2,0,0,7,2,0,0,7,0,3,0,10,110,15,3,7,0,5,1,22,23,13,16,4,0,0,0,57,1025,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqLong256FunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqLong256FunctionFactory$Func,innerclass,5,5,0,5,5,3,0,2,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,19,3,0,1,0,0,0,0,4,0,4,0,0,0,0,17,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\math\MulIntFunctionFactory.java,io.questdb.griffin.engine.functions.math.MulIntFunctionFactory,class,9,10,1,9,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,2,0,0,0,0,0,1,0,17,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\FirstShortGroupByFunction.java,io.questdb.griffin.engine.functions.groupby.FirstShortGroupByFunction,class,9,12,3,9,8,2,1,6,10,0.5625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,1,0,0,28,2,0,0,0,0,0,1,2,0,2,0,0,0,0,26,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\math\RemDoubleFunctionFactory.java,io.questdb.griffin.engine.functions.math.RemDoubleFunctionFactory,class,9,9,0,9,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,2,0,0,0,0,0,1,0,18,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\std\IntStackTest.java,io.questdb.std.IntStackTest,class,3,3,0,3,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,1,5,7,3,6,1,0,0,0,10,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\catalogue\TypeCatalogueFunctionFactory.java,io.questdb.griffin.engine.functions.catalogue.TypeCatalogueFunctionFactory,class,9,10,1,9,3,1,1,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\mp\AbstractSequence.java,io.questdb.mp.LhsPadding,class,0,1,1,0,0,1,1,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastByteToDateFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastByteToDateFunctionFactory$Func,innerclass,4,4,0,4,3,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,9,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\griffin\model\IntervalUtilsTest.java,io.questdb.griffin.model.IntervalUtilsTest,class,7,8,1,7,40,1,0,33,406,0.9655172,0.0,0.0,29,4,23,5,0,1,24,0,0,0,1,0,0,1,0,0,1,0,43,269,4,4,2,0,1,16,194,51,14,47,3,0,0,0,110,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\griffin\engine\functions\GeoByteFunctionTest.java,io.questdb.griffin.engine.functions.GeoByteFunctionTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\cutlass\http\HttpMinTestBuilder.java,io.questdb.cutlass.http.HttpMinTestBuilder,class,17,19,2,17,3,1,0,12,1,0.5555556,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,1,0,4,54,2,0,0,2,0,0,2,10,0,10,3,2,0,1,39,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\cutlass\http\HttpChunkedResponseSocket.java,io.questdb.cutlass.http.HttpChunkedResponseSocket,interface,2,14,12,2,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqStrCharFunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqStrCharFunctionFactory$NegatedAwareBooleanConstantFunc,innerclass,3,3,0,3,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\rnd\RndStringListFunctionFactory.java,io.questdb.griffin.engine.functions.rnd.RndStringListFunctionFactory,class,14,17,3,14,9,2,0,12,3,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,48,3,1,4,0,0,2,4,5,0,5,3,0,1,0,31,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\groupby\vect\GroupByJob.java,io.questdb.griffin.engine.groupby.vect.GroupByJob,class,6,9,3,6,2,2,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\griffin\LatestByParallelTest.java,io.questdb.griffin.LatestByParallelTest$Anonymous3,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\tasks\O3CallbackTask.java,io.questdb.tasks.O3CallbackTask,class,3,8,5,3,7,2,0,1,9,0.7142858,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,0,0,0,35,6,0,0,0,0,0,0,6,0,6,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\griffin\LatestByParallelTest.java,io.questdb.griffin.LatestByParallelTest$Anonymous1,anonymous,1,1,0,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\griffin\LatestByParallelTest.java,io.questdb.griffin.LatestByParallelTest$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\math\AddShortFunctionFactory.java,io.questdb.griffin.engine.functions.math.AddShortFunctionFactory$AddShortVVFunc,innerclass,4,4,0,4,4,2,0,1,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,0,2,2,0,0,17,3,0,0,0,1,0,0,2,1,2,0,0,0,0,13,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\constants\IntTypeConstant.java,io.questdb.griffin.engine.functions.constants.IntTypeConstant,class,4,5,1,4,2,2,0,0,1,1.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastShortToFloatFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastShortToFloatFunctionFactory$Func,innerclass,4,4,0,4,3,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,9,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\regex\AbstractLikeStrFunctionFactory.java,io.questdb.griffin.engine.functions.regex.AbstractLikeStrFunctionFactory$BindLikeStrFunction,innerclass,8,8,0,8,8,2,0,9,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,2,0,2,36,3,0,4,0,0,1,1,10,0,7,2,0,0,0,36,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\cutlass\text\TextConfiguration.java,io.questdb.cutlass.text.TextConfiguration,interface,2,26,24,2,14,1,0,0,91,0.0,0.0,0.0,14,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\SumIntGroupByFunctionFactory.java,io.questdb.griffin.engine.functions.groupby.SumIntGroupByFunctionFactory,class,7,7,0,7,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,1,0,0,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\CountStringGroupByFunctionFactory.java,io.questdb.griffin.engine.functions.groupby.CountStringGroupByFunctionFactory,class,7,7,0,7,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,1,0,0,0,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\groupby\MaxFloatGroupByFunctionFactory.java,io.questdb.griffin.engine.functions.groupby.MaxFloatGroupByFunctionFactory,class,7,7,0,7,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,1,0,0,0,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\std\Rosti.java,io.questdb.std.Rosti,class,5,29,24,5,67,1,0,21,1951,0.96825397,0.0,0.0,63,63,62,1,0,0,62,0,0,0,1,1,1,0,0,0,1,0,24,113,8,2,1,1,3,1,14,13,20,12,2,0,0,0,62,17,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\conditional\CaseCommon.java,io.questdb.griffin.engine.functions.conditional.CaseCommon,class,61,65,4,61,14,1,0,25,6,0.75,0.0,0.0,4,4,0,1,0,3,6,0,0,0,5,5,0,5,0,0,5,0,212,268,8,0,3,0,0,3,4,11,0,50,1,0,0,13,58,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastStrToByteFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastStrToByteFunctionFactory,class,9,9,0,9,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,1,1,0,0,0,0,0,1,0,20,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\cutlass\line\udp\LinuxMMLineProtoReceiver.java,io.questdb.cutlass.line.udp.LinuxMMLineProtoReceiver,class,7,10,3,7,8,3,0,12,0,0.16666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,2,0,0,2,0,0,1,0,0,41,1,2,1,0,1,0,5,12,1,7,2,0,0,0,31,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\catalogue\AbstractClassCatalogueFunctionFactory.java,io.questdb.griffin.engine.functions.catalogue.AbstractClassCatalogueFunctionFactory$ClassCatalogueCursorFactory,innerclass,9,9,0,9,4,2,0,4,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,3,21,2,0,0,0,0,0,0,3,0,3,0,0,0,0,26,10,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\join\AsOfJoinRecordCursorFactory.java,io.questdb.griffin.engine.join.AsOfJoinRecordCursorFactory,class,17,18,1,17,4,2,0,10,0,0.53571427,0.0,0.0,4,0,4,0,0,0,4,0,0,0,7,0,0,7,0,0,7,0,2,132,2,0,0,0,1,0,0,7,0,7,0,0,1,0,37,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\cutlass\text\TextUtil.java,io.questdb.cutlass.text.TextUtil,class,5,12,7,5,10,1,0,4,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,45,0,2,4,0,0,0,8,10,1,7,4,0,0,0,19,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\cairo\MemRemappedFileTest.java,io.questdb.cairo.MemRemappedFileTest,class,18,19,1,18,10,1,0,24,0,0.7111112,0.0,0.0,5,2,4,1,0,0,4,0,0,0,9,8,1,8,0,0,6,0,4,67,1,4,1,1,1,10,17,27,6,23,4,0,0,0,62,1,6
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\cutlass\http\processors\TextImportProcessorConfiguration.java,io.questdb.cutlass.http.processors.TextImportProcessorConfiguration,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\std\Numbers.java,io.questdb.std.Numbers,class,15,219,204,15,549,1,0,121,11239,0.97790813,0.0,0.0,155,154,66,89,0,0,70,0,0,0,33,33,11,21,0,1,33,0,233,2299,122,24,107,3,719,32,1975,806,931,289,6,0,1,0,310,17,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\cairo\pool\PoolConstants.java,io.questdb.cairo.pool.PoolConstants,class,0,2,2,0,6,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,5,5,5,0,0,0,5,0,0,23,6,0,0,0,0,6,5,5,0,5,1,0,0,0,21,17,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\std\Long256.java,io.questdb.std.Long256,interface,0,86,86,0,4,1,0,0,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\mp\TimeoutException.java,io.questdb.mp.TimeoutException,class,1,3,2,1,1,4,0,0,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,17,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\union\SetRecordCursorFactoryConstructor.java,io.questdb.griffin.engine.union.SetRecordCursorFactoryConstructor,interface,5,6,1,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\PropServerConfigurationTest.java,io.questdb.PropServerConfigurationTest,class,30,31,1,30,17,1,0,195,0,0.3529412,0.0,0.0,17,2,17,0,0,0,17,0,0,0,3,3,1,2,0,0,2,0,5,467,0,0,0,3,0,98,303,36,20,30,1,0,0,0,66,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\griffin\engine\functions\groupby\AvgIntVecGroupByFunctionFactoryTest.java,io.questdb.griffin.engine.functions.groupby.AvgIntVecGroupByFunctionFactoryTest,class,4,4,0,4,4,3,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,22,0,0,6,0,0,0,0,0,43,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\orderby\RecordTreeChain.java,io.questdb.griffin.engine.orderby.RecordTreeChain,class,13,17,4,13,56,1,0,33,210,0.8958334,0.0,0.0,24,14,5,19,0,0,5,0,0,0,14,8,0,14,0,0,13,0,113,281,13,4,28,0,1,0,49,43,11,28,4,0,1,0,75,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\bind\BinBindVariable.java,io.questdb.griffin.engine.functions.bind.BinBindVariable,class,4,5,1,4,5,2,0,1,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,15,3,0,1,0,0,0,0,1,0,1,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\constants\GeoShortConstant.java,io.questdb.griffin.engine.functions.constants.GeoShortConstant,class,4,7,3,4,2,3,0,0,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,1,1,0,0,2,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\groupby\vect\MinDateVectorAggregateFunction.java,io.questdb.griffin.engine.groupby.vect.MinDateVectorAggregateFunction,class,10,10,0,10,16,2,0,13,9,0.75757575,0.0,0.0,11,0,11,0,0,0,11,0,0,0,6,1,1,5,0,0,5,0,5,61,3,0,5,0,0,0,2,10,3,8,2,0,0,0,54,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\cairo\TableBlockWriter.java,io.questdb.cairo.TableBlockWriter$TaskType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\std\ConcurrentHashMap.java,io.questdb.std.ConcurrentHashMap$Segment,innerclass,0,0,0,0,1,2,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,2,0,0,7,0,0,0,0,0,0,1,2,0,2,0,0,0,0,26,8,0
D:\trabCKMetrics\repos\questdbquestdb\benchmarks\src\main\java\org\questdb\SqlKeywordsBenchmark.java,org.questdb.SqlKeywordsBenchmark,class,10,11,1,10,5,1,0,10,10,0.0,0.0,0.0,5,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,18,4,0,0,0,0,6,3,1,0,1,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\metadata\BuildFunctionFactory.java,io.questdb.griffin.engine.functions.metadata.BuildFunctionFactory,class,10,11,1,10,5,1,0,5,6,0.75,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,20,4,0,1,0,0,4,0,3,1,3,1,0,0,0,36,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\test\java\io\questdb\griffin\engine\functions\math\DivLongFunctionFactoryTest.java,io.questdb.griffin.engine.functions.math.DivLongFunctionFactoryTest,class,5,5,0,5,6,5,0,2,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,10,0,0,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\PropServerConfiguration.java,io.questdb.PropServerConfiguration$PropStaticContentProcessorConfiguration,innerclass,3,3,0,3,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\std\str\MutableCharSink.java,io.questdb.std.str.MutableCharSink,interface,2,7,5,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\questdbquestdb\core\src\main\java\io\questdb\griffin\engine\functions\math\NegIntFunctionFactory.java,io.questdb.griffin.engine.functions.math.NegIntFunctionFactory$Func,innerclass,4,4,0,4,4,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,13,2,0,1,0,0,0,0,2,0,2,0,0,0,0,10,10,0
