Name,Stars,Releases,Age,LOC,CBO,DIT,LCOM
CyC2018/CS-Notes,137887,0,3,0,nan,nan,nan
Snailclimb/JavaGuide,110262,0,3,0,nan,nan,nan
iluwatar/java-design-patterns,69829,0,7,31074,3.0,1.0,0.0
MisterBooo/LeetCodeAnimation,66769,0,2,78,1.0,1.0,0.0
doocs/advanced-java,57086,0,2,0,nan,nan,nan
spring-projects/spring-boot,57036,106,8,297399,4.0,1.0,0.0
kdn251/interviews,53811,0,4,5621,1.0,1.0,0.0
macrozheng/mall,52250,1,3,100909,3.0,1.0,0.5
ReactiveX/RxJava,45144,225,8,368467,1.0,1.0,0.0
spring-projects/spring-framework,44211,210,10,623594,3.0,1.0,0.0
google/guava,42262,32,7,263491,2.0,1.0,0.0
TheAlgorithms/Java,40487,0,5,12350,1.0,1.0,0.0
square/retrofit,38656,0,11,26469,3.0,1.0,0.0
kon9chunkit/GitHub-Chinese-Top-Charts,38412,0,2,0,nan,nan,nan
apache/dubbo,36102,38,9,154571,4.0,1.0,0.0
PhilJay/MPAndroidChart,33897,44,7,21111,5.0,1.0,0.0
airbnb/lottie-android,31716,36,4,15350,4.0,1.0,0.0
bumptech/glide,31675,36,8,55561,4.0,1.0,0.0
Blankj/AndroidUtilCode,29787,116,5,39755,2.0,1.0,0.0
geekxh/hello-algorithm,28422,0,1,61,1.0,1.0,0.0
zxing/zxing,28331,27,9,36037,4.0,2.0,0.25
netty/netty,27508,0,10,301482,3.0,1.0,0.0
skylot/jadx,27066,14,8,89833,3.0,1.0,0.0
alibaba/arthas,27035,37,3,39430,3.0,1.0,0.0
crossoverJie/JCSprout,26379,0,3,4377,1.0,1.0,0.0
ityouknow/spring-boot-examples,26196,0,4,3141,4.0,1.0,0.0
JakeWharton/butterknife,25735,0,8,7712,2.0,1.0,0.0
apolloconfig/apollo,25398,32,5,42476,4.0,1.0,0.0
proxyee-down-org/proxyee-down,25378,49,3,3392,4.0,1.0,0.4
jeecgboot/jeecg-boot,24824,16,2,29803,4.0,1.0,0.0
alibaba/druid,24454,42,9,304877,5.0,2.0,0.0
alibaba/fastjson,23747,82,9,205537,2.0,1.0,0.0
greenrobot/EventBus,23583,5,9,5734,3.0,1.0,0.0
xkcoding/spring-boot-demo,23270,0,3,7163,4.0,1.0,0.0
scwang90/SmartRefreshLayout,22936,8,4,20043,3.0,1.0,0.0
lenve/vhr,22247,0,3,2971,2.0,1.0,0.0
CymChad/BaseRecyclerViewAdapterHelper,22239,191,5,3931,3.0,1.0,0.0
dbeaver/dbeaver,22028,135,5,368617,5.0,1.0,0.0
Netflix/Hystrix,21921,79,8,62010,2.0,1.0,0.0
SeleniumHQ/selenium,21592,69,8,88135,4.0,1.0,0.0
wuyouzhuguli/SpringAll,21576,0,3,6031,4.0,1.0,0.0
hollischuang/toBeTopJavaer,21500,0,2,0,nan,nan,nan
qiurunze123/miaosha,21451,0,2,8714,3.0,1.0,0.0
signalapp/Signal-Android,21088,0,9,225147,5.0,1.0,0.0
alibaba/easyexcel,21032,1,3,15808,5.0,1.0,0.25
seata/seata,20724,31,2,167256,5.0,1.0,0.0
alibaba/canal,20368,21,8,104684,4.0,1.0,0.13
dromara/hutool,20323,99,7,95546,3.0,1.0,0.0
alibaba/spring-cloud-alibaba,20013,25,3,18342,5.0,1.0,0.0
google/gson,20008,1,6,29104,2.0,1.0,0.0
apache/kafka,19807,0,10,357613,4.0,1.0,0.13
halo-dev/halo,19661,72,3,18286,5.0,1.0,0.0
